PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,California,2018,9,X,3.64857,X,X,X,X,X,X,1870,120,51253
States,California,2018,10,X,3.39303,X,X,X,X,X,X,1813,118,53433
States,California,2018,11,X,3.21007,X,X,X,X,X,X,1658,114,51650
States,California,2018,12,X,2.9579,X,X,X,X,X,X,1457,107,49258
States,California,2018,13,X,2.76154,X,X,X,X,X,X,1167,112,42259
States,California,2018,14,X,2.30591,X,X,X,X,X,X,1082,108,46923
States,California,2018,15,X,1.81038,X,X,X,X,X,X,903,111,49879
States,California,2018,16,X,1.83904,X,X,X,X,X,X,888,109,48286
States,California,2018,17,X,1.90959,X,X,X,X,X,X,934,110,48911
States,California,2018,18,X,1.859,X,X,X,X,X,X,876,104,47122
States,California,2018,19,X,1.7816,X,X,X,X,X,X,828,100,46475
States,California,2018,20,X,1.59208,X,X,X,X,X,X,708,101,44470
States,California,2018,21,X,1.69035,X,X,X,X,X,X,690,91,40820
States,California,2018,22,X,1.5359,X,X,X,X,X,X,581,91,37828
States,California,2018,23,X,1.34495,X,X,X,X,X,X,571,91,42455
States,California,2018,24,X,1.33835,X,X,X,X,X,X,548,90,40946
States,California,2018,25,X,1.64565,X,X,X,X,X,X,526,81,31963
States,California,2018,26,X,1.53626,X,X,X,X,X,X,493,84,32091
States,California,2018,27,X,1.09491,X,X,X,X,X,X,380,89,34706
States,California,2018,28,X,0.98471,X,X,X,X,X,X,398,92,40418
States,California,2018,29,X,0.933866,X,X,X,X,X,X,379,93,40584
States,California,2018,30,X,0.946458,X,X,X,X,X,X,382,90,40361
States,California,2018,31,X,0.942208,X,X,X,X,X,X,374,82,39694
States,California,2018,32,X,0.954801,X,X,X,X,X,X,387,87,40532
States,California,2018,33,X,0.947351,X,X,X,X,X,X,391,84,41273
States,California,2018,34,X,0.85034,X,X,X,X,X,X,335,72,39396
States,California,2018,35,X,1.01655,X,X,X,X,X,X,435,75,42792
States,California,2018,36,X,1.35018,X,X,X,X,X,X,515,71,38143
States,California,2018,37,X,1.53784,X,X,X,X,X,X,645,78,41942
States,California,2018,38,X,1.36726,X,X,X,X,X,X,555,78,40592
States,California,2018,39,X,1.30344,X,X,X,X,X,X,546,79,41889
States,California,2018,40,X,1.48079,X,X,X,X,X,X,698,105,47137
States,California,2018,41,X,1.27218,X,X,X,X,X,X,598,105,47006
States,California,2018,42,X,1.42798,X,X,X,X,X,X,691,103,48390
States,California,2018,43,X,1.58346,X,X,X,X,X,X,753,102,47554
States,California,2018,44,X,1.76401,X,X,X,X,X,X,875,113,49603
States,California,2018,45,X,1.86635,X,X,X,X,X,X,944,118,50580
States,California,2018,46,X,2.07476,X,X,X,X,X,X,943,115,45451
States,California,2018,47,X,2.07785,X,X,X,X,X,X,719,115,34603
States,California,2018,48,X,2.35193,X,X,X,X,X,X,1177,114,50044
States,California,2018,49,X,2.55125,X,X,X,X,X,X,1206,113,47271
States,California,2018,50,X,2.90103,X,X,X,X,X,X,1356,115,46742
States,California,2018,51,X,3.15841,X,X,X,X,X,X,1288,107,40780
States,California,2018,52,X,3.35655,X,X,X,X,X,X,935,105,27856
States,California,2019,1,X,3.3413,X,X,X,X,X,X,1021,113,30557
States,California,2019,2,X,3.14047,X,X,X,X,X,X,1415,115,45057
States,California,2019,3,X,2.87537,X,X,X,X,X,X,1325,117,46081
States,California,2019,4,X,2.74367,X,X,X,X,X,X,1267,118,46179
States,California,2019,5,X,3.25349,X,X,X,X,X,X,1657,120,50930
States,California,2019,6,X,3.26858,X,X,X,X,X,X,1617,119,49471
States,California,2019,7,X,3.77301,X,X,X,X,X,X,1726,113,45746
States,California,2019,8,X,3.40884,X,X,X,X,X,X,1562,118,45822
States,California,2019,9,X,3.59746,X,X,X,X,X,X,1856,117,51592
States,California,2019,10,X,3.52475,X,X,X,X,X,X,1804,116,51181
States,California,2019,11,X,3.36917,X,X,X,X,X,X,1708,114,50695
States,California,2019,12,X,3.48291,X,X,X,X,X,X,1699,117,48781
States,California,2019,13,X,2.96381,X,X,X,X,X,X,1371,116,46258
States,California,2019,14,X,2.9268,X,X,X,X,X,X,1329,114,45408
States,California,2019,15,X,2.40137,X,X,X,X,X,X,1165,112,48514
States,California,2019,16,X,2.27985,X,X,X,X,X,X,1084,102,47547
States,California,2019,17,X,2.02365,X,X,X,X,X,X,972,112,48032
States,California,2019,18,X,1.62147,X,X,X,X,X,X,702,92,43294
States,California,2019,19,X,1.8175,X,X,X,X,X,X,771,88,42421
States,California,2019,20,X,1.63414,X,X,X,X,X,X,674,88,41245
States,California,2019,21,X,1.66379,X,X,X,X,X,X,607,78,36483
States,California,2019,22,X,1.80111,X,X,X,X,X,X,612,79,33979
States,California,2019,23,X,1.65494,X,X,X,X,X,X,574,75,34684
States,California,2019,24,X,1.56691,X,X,X,X,X,X,561,72,35803
States,California,2019,25,X,1.33195,X,X,X,X,X,X,463,75,34761
States,California,2019,26,X,1.30988,X,X,X,X,X,X,455,73,34736
States,California,2019,27,X,1.0577,X,X,X,X,X,X,321,75,30349
States,California,2019,28,X,0.979799,X,X,X,X,X,X,340,75,34701
States,California,2019,29,X,0.993724,X,X,X,X,X,X,342,75,34416
States,California,2019,30,X,0.971839,X,X,X,X,X,X,342,73,35191
States,California,2019,31,X,0.89278,X,X,X,X,X,X,308,74,34499
States,California,2019,32,X,1.08555,X,X,X,X,X,X,369,70,33992
States,California,2019,33,X,0.892857,X,X,X,X,X,X,310,69,34720
States,California,2019,34,X,0.850265,X,X,X,X,X,X,308,72,36224
States,California,2019,35,X,1.1124,X,X,X,X,X,X,411,67,36947
States,California,2019,36,X,1.08494,X,X,X,X,X,X,381,70,35117
States,California,2019,37,X,1.20194,X,X,X,X,X,X,473,75,39353
States,California,2019,38,X,1.23598,X,X,X,X,X,X,474,75,38350
States,California,2019,39,X,1.22432,X,X,X,X,X,X,478,75,39042
States,California,2019,40,X,1.45115,X,X,X,X,X,X,762,113,52510
States,California,2019,41,X,1.61517,X,X,X,X,X,X,816,109,50521
States,California,2019,42,X,1.75585,X,X,X,X,X,X,886,114,50460
States,California,2019,43,X,1.86896,X,X,X,X,X,X,975,112,52168
States,California,2019,44,X,1.98801,X,X,X,X,X,X,985,114,49547
States,California,2019,45,X,2.32146,X,X,X,X,X,X,1204,114,51864
States,California,2019,46,X,2.63428,X,X,X,X,X,X,1414,112,53677
States,California,2019,47,X,2.51901,X,X,X,X,X,X,1438,108,57086
States,California,2019,48,X,2.69076,X,X,X,X,X,X,980,90,36421
